name,opponent_name,winner,1st_Serve,1st_Serve_won,2nd_Serve_won,1st_Serve_Return_won,2nd_Serve_Return_won,Return_points_won
Gijs Brouwer,Nicolas Jarry,FALSE,65.20%,87.90%,54.80%,21.90%,43.20%,30.60%
Tallon Griekspoor,Sho Shimabukuro,TRUE,65.20%,86.20%,54.80%,24.60%,52.00%,37.40%
Botic Van De Zandschulp,Luca Van Assche,FALSE,65.10%,76.10%,47.40%,24.20%,42.40%,30.50%
Carlos Alcaraz Garfia,Tommy Paul,TRUE,65.00%,71.60%,47.20%,38.40%,56.60%,44.70%
Jan Lennard Struff,Hugo Gaston,FALSE,65.00%,76.90%,45.20%,31.10%,50.00%,38.40%
Karen Khachanov,Laslo Djere,TRUE,65.00%,76.90%,66.70%,30.00%,56.10%,41.80%
Novak Djokovic,Taylor Harry Fritz,TRUE,65.00%,80.80%,64.30%,31.80%,72.70%,52.30%
Grigor Dimitrov,Mackenzie Mcdonald,TRUE,64.90%,86.50%,60.00%,32.60%,47.40%,37.10%
David Goffin,Quentin Halys,TRUE,64.90%,91.70%,61.50%,39.50%,77.80%,51.80%
Stefanos Tsitsipas,Alexander Zverev,TRUE,64.80%,78.30%,52.00%,32.80%,57.90%,39.00%
Ugo Humbert,Marcos Giron,TRUE,64.70%,90.90%,66.70%,33.30%,44.40%,38.30%
Sebastian Ofner,Dominic Thiem,TRUE,64.60%,84.90%,55.20%,32.40%,51.40%,38.90%
Alex De Minaur,Diego Sebastian Schwartzman,TRUE,64.60%,71.00%,70.60%,41.70%,75.00%,51.50%
Ben Shelton,Jordan Thompson,TRUE,64.60%,80.60%,55.90%,29.20%,56.30%,40.00%
Emil Ruusuvuori,Benjamin Hassan,TRUE,64.60%,77.40%,64.70%,41.20%,68.40%,55.60%
Sebastian Baez,Borna Coric,TRUE,64.60%,71.00%,58.80%,36.80%,51.00%,42.70%
Ugo Humbert,Alexander Shevchenko,TRUE,64.40%,86.20%,75.00%,26.50%,57.10%,38.20%
Lorenzo Sonego,Philip Sekulic,TRUE,64.40%,81.60%,52.40%,38.90%,60.00%,45.10%
Frances Tiafoe,Aslan Karatsev,TRUE,64.40%,75.00%,64.50%,22.90%,42.50%,31.80%
Gael Monfils,Francisco Cerundolo,FALSE,64.30%,69.80%,48.60%,41.20%,42.90%,41.70%
Juncheng Shang,Ben Shelton,TRUE,64.30%,83.30%,60.00%,31.10%,53.30%,40.00%
Nicolas Jarry,Diego Sebastian Schwartzman,TRUE,64.20%,78.80%,69.00%,37.10%,42.30%,38.50%
Taylor Harry Fritz,Cameron Norrie,TRUE,64.20%,79.40%,68.40%,40.90%,60.00%,46.90%
Yoshihito Nishioka,Aleksandar Vukic,FALSE,64.20%,69.10%,63.20%,23.80%,47.70%,33.60%
Andrey Rublev,Botic Van De Zandschulp,TRUE,64.00%,87.50%,55.60%,30.60%,64.30%,40.00%
Casper Ruud,Jan Lennard Struff,TRUE,64.00%,72.90%,55.60%,36.40%,45.00%,40.50%
Sho Shimabukuro,Christian Garin,FALSE,64.00%,68.80%,50.00%,22.90%,42.90%,31.30%
Grigor Dimitrov,Lorenzo Musetti,TRUE,64.00%,81.80%,54.80%,40.00%,45.50%,41.80%
Daniel Elahi Galan Riveros,Radu Albot,TRUE,63.90%,71.80%,45.50%,44.70%,62.50%,51.60%
Sebastian Korda,Benjamin Bonzi,TRUE,63.90%,82.10%,45.50%,30.30%,77.80%,47.10%
Tallon Griekspoor,Novak Djokovic,FALSE,63.90%,77.40%,45.70%,22.70%,55.00%,34.90%
Carlos Alcaraz Garfia,Yannick Hanfmann,TRUE,63.80%,80.00%,47.10%,38.00%,65.50%,48.10%
Jordan Thompson,Dusan Lajovic,TRUE,63.80%,86.70%,82.40%,41.20%,55.60%,44.90%
Daniel Evans,Frances Tiafoe,TRUE,63.80%,75.70%,76.20%,28.60%,51.90%,36.80%
Laslo Djere,Alex Michelsen,TRUE,63.80%,75.70%,61.90%,31.60%,51.50%,40.80%
Alexander Shevchenko,Felix Auger Aliassime,FALSE,63.60%,71.40%,63.90%,25.80%,51.20%,35.80%
Borna Coric,Jason Jung,TRUE,63.60%,78.60%,68.80%,48.00%,62.50%,53.70%
Cameron Norrie,Marc Polmans,TRUE,63.60%,78.60%,68.80%,46.70%,62.50%,52.20%
Gael Monfils,Laslo Djere,TRUE,63.60%,82.90%,55.00%,48.80%,62.50%,52.50%
Rinky Hijikata,Laslo Djere,TRUE,63.50%,78.70%,45.70%,29.60%,46.90%,36.00%
Stefanos Tsitsipas,Nicolas Jarry,TRUE,63.50%,80.30%,65.70%,31.00%,43.80%,35.00%
Jack Draper,Cem Ilkel,TRUE,63.40%,88.50%,66.70%,52.90%,47.60%,50.90%
Alexandre Muller,Roman Safiullin,FALSE,63.40%,68.90%,46.20%,25.00%,50.00%,34.20%
Ugo Humbert,Dominic Thiem,TRUE,63.30%,84.20%,51.50%,27.10%,47.70%,35.90%
Fabian Marozsan,Dusan Lajovic,TRUE,63.30%,77.40%,55.60%,44.70%,63.20%,50.00%
Mackenzie Mcdonald,Diego Sebastian Schwartzman,TRUE,63.30%,83.90%,61.10%,38.60%,52.60%,42.90%
Aslan Karatsev,Matteo Arnaldi,TRUE,63.20%,83.30%,57.10%,33.30%,50.00%,39.70%
Matteo Arnaldi,Albert Ramos,TRUE,63.20%,71.70%,48.60%,26.00%,58.10%,38.30%
Roman Safiullin,Alexandre Muller,TRUE,63.20%,75.00%,50.00%,31.10%,53.80%,39.40%
Ugo Humbert,Marcos Giron,TRUE,63.20%,78.30%,62.90%,23.10%,50.00%,30.80%
Ugo Humbert,Fabio Fognini,TRUE,63.20%,87.50%,64.30%,48.70%,76.50%,57.10%
Carlos Alcaraz Garfia,Daniel Evans,TRUE,63.10%,70.70%,66.70%,33.90%,60.40%,45.80%
Matteo Arnaldi,Jan Lennard Struff,TRUE,63.00%,70.70%,55.90%,30.80%,56.30%,40.50%
Taylor Harry Fritz,Kei Nishikori,TRUE,63.00%,86.20%,76.50%,31.60%,55.00%,39.70%
Daniil Medvedev,Karen Khachanov,TRUE,62.90%,80.40%,48.50%,22.00%,63.30%,36.00%
Alex De Minaur,Thiago Agustin Tirante,TRUE,62.90%,86.40%,69.20%,46.40%,63.60%,54.00%
Alexander Zverev,Yoshihito Nishioka,TRUE,62.80%,71.40%,55.20%,34.10%,48.60%,40.50%
Harold Mayot,Gregoire Barrere,TRUE,62.80%,68.40%,57.80%,26.80%,55.30%,35.80%
Jordan Thompson,Kevin Anderson,TRUE,62.80%,79.60%,56.30%,26.70%,60.00%,38.90%
Gael Monfils,Pavel Kotov,TRUE,62.80%,76.30%,48.60%,31.90%,54.50%,39.00%
Andrey Rublev,Ugo Humbert,TRUE,62.70%,71.90%,63.20%,47.50%,54.80%,50.70%
Tallon Griekspoor,Alejandro Davidovich Fokina,TRUE,62.70%,84.40%,47.40%,40.00%,60.00%,47.30%
Laslo Djere,Leo Borg,TRUE,62.70%,70.30%,54.50%,26.30%,81.00%,45.80%
Nicolas Jarry,Alexei Popyrin,TRUE,62.70%,88.10%,64.00%,27.90%,51.40%,36.50%
Borna Coric,Rinky Hijikata,TRUE,62.70%,80.90%,46.40%,37.10%,48.50%,42.60%
Felix Auger Aliassime,Aleksandar Vukic,TRUE,62.60%,72.60%,54.10%,33.70%,60.00%,43.40%
Lorenzo Sonego,Dusan Lajovic,TRUE,62.60%,71.00%,64.90%,30.20%,42.10%,32.90%
Alexander Zverev,Pavel Kotov,TRUE,62.50%,86.00%,56.70%,27.30%,52.80%,36.30%
Marc Andrea Huesler,Richard Gasquet,FALSE,62.50%,72.50%,45.80%,25.00%,43.20%,33.80%
Thanasi Kokkinakis,Ugo Humbert,FALSE,62.50%,78.30%,52.80%,25.80%,62.80%,40.40%
Alexei Popyrin,Christian Garin,TRUE,62.40%,75.00%,51.20%,34.80%,47.90%,40.20%
Ugo Humbert,Taylor Harry Fritz,FALSE,62.40%,77.60%,48.60%,23.30%,52.10%,36.10%
Andrey Rublev,Alexei Popyrin,TRUE,62.30%,68.80%,51.70%,32.60%,54.50%,40.00%
Mackenzie Mcdonald,Kimmer Coppejans,TRUE,62.30%,79.20%,55.20%,32.60%,54.80%,43.20%
Aslan Karatsev,Alex De Minaur,TRUE,62.30%,72.10%,53.80%,33.30%,50.00%,39.60%
Laslo Djere,Luca Van Assche,TRUE,62.30%,70.40%,55.80%,30.50%,47.50%,37.40%
Stefanos Tsitsipas,Karen Khachanov,TRUE,62.30%,78.80%,50.00%,26.70%,65.00%,42.00%
Marcos Giron,Felix Auger Aliassime,TRUE,62.20%,71.40%,58.80%,32.10%,69.20%,50.00%
Nicolas Jarry,Rodrigo Pacheco Mendez,TRUE,62.20%,85.70%,52.90%,44.10%,46.70%,44.90%
Andrey Rublev,Tommy Paul,TRUE,62.10%,80.60%,72.70%,38.80%,42.90%,40.30%
Karen Khachanov,Max Purcell,TRUE,62.10%,75.00%,54.50%,22.90%,62.10%,40.60%
Chun Hsin Tseng,Alexander Shevchenko,TRUE,62.00%,73.50%,53.30%,29.70%,48.50%,38.60%
Juan Pablo Varillas Patino Samudio,Jie Cui,TRUE,62.00%,80.60%,52.60%,40.00%,52.90%,45.20%
Max Purcell,Felix Auger Aliassime,TRUE,62.00%,90.30%,63.20%,22.90%,56.70%,38.50%
Tomas Machac,Stan Wawrinka,TRUE,62.00%,83.90%,68.40%,37.00%,50.00%,41.90%
Max Purcell,Marco Cecchinato,TRUE,61.90%,88.50%,62.50%,34.40%,61.50%,46.60%
Taylor Harry Fritz,Alexander Shevchenko,FALSE,61.90%,91.80%,53.30%,23.00%,50.00%,32.00%
Borna Coric,Juan Manuel Cerundolo,TRUE,61.80%,79.40%,52.40%,38.70%,77.80%,53.10%
Daniil Medvedev,Lorenzo Musetti,TRUE,61.80%,82.40%,47.60%,27.80%,56.00%,39.30%
Roman Safiullin,Brandon Nakashima,TRUE,61.80%,82.40%,61.90%,32.50%,44.40%,36.20%
Gregoire Barrere,Jurij Rodionov,FALSE,61.70%,77.60%,55.60%,29.30%,42.50%,34.70%
Alexander Shevchenko,Benjamin Bonzi,TRUE,61.70%,77.00%,50.00%,22.70%,45.70%,32.10%
Holger Vitus Nodskov Rune,Dominic Thiem,TRUE,61.70%,81.10%,47.80%,33.30%,52.40%,40.70%
Mackenzie Mcdonald,Andrey Rublev,TRUE,61.70%,75.70%,60.90%,29.60%,50.00%,41.80%
Hugo Gaston,Jan Lennard Struff,TRUE,61.60%,68.90%,50.00%,23.10%,54.80%,34.20%
Jan Lennard Struff,Christopher Eubanks,TRUE,61.60%,84.40%,57.10%,26.30%,48.00%,32.90%
Jannik Sinner,Andrey Rublev,TRUE,61.60%,82.20%,53.60%,29.10%,59.10%,37.70%
Miomir Kecmanovic,Holger Vitus Nodskov Rune,TRUE,61.60%,73.30%,64.30%,35.70%,48.40%,41.10%
Brandon Nakashima,Aleksandar Vukic,TRUE,61.60%,71.70%,54.50%,37.50%,45.20%,40.80%
Felipe Meligeni Rodrigues Alves,Tommy Paul,FALSE,61.50%,71.40%,45.70%,25.00%,51.40%,35.60%
Holger Vitus Nodskov Rune,Felix Auger Aliassime,TRUE,61.50%,87.50%,65.00%,30.80%,47.10%,35.70%
Novak Djokovic,Tomas Martin Etcheverry,TRUE,61.50%,81.30%,60.00%,35.00%,60.00%,40.00%
Terence Atmane,Jordan Thompson,TRUE,61.40%,72.10%,59.30%,31.80%,58.80%,39.30%
Miomir Kecmanovic,Karl Friberg,TRUE,61.40%,77.10%,63.60%,32.40%,63.20%,42.90%
Roman Safiullin,Lorenzo Musetti,TRUE,61.40%,82.90%,68.20%,23.50%,60.90%,38.60%
Maxime Cressy,Alex Michelsen,TRUE,61.40%,92.60%,64.70%,33.30%,65.00%,42.60%
Matteo Arnaldi,Nicolas Jarry,FALSE,61.30%,70.60%,51.20%,26.90%,50.00%,33.30%
Dominik Koepfer,James Duckworth,TRUE,61.20%,80.00%,68.40%,50.00%,50.00%,50.00%
Sebastian Ofner,Christopher Oconnell,TRUE,61.10%,77.60%,64.90%,23.60%,53.80%,36.20%
Holger Vitus Nodskov Rune,Sebastian Baez,TRUE,61.00%,77.80%,78.30%,32.00%,66.70%,38.70%
Jordan Thompson,Adrian Mannarino,TRUE,61.00%,77.80%,69.60%,28.60%,56.00%,38.80%
Cem Ilkel,Dimitar Kuzmanov,TRUE,61.00%,84.00%,56.30%,52.10%,54.50%,52.90%
Adrian Mannarino,Nicolas Jarry,FALSE,61.00%,82.80%,48.80%,26.50%,50.00%,34.10%
Elias Ymer,Roberto Bautista Agut,TRUE,60.90%,82.10%,77.80%,37.50%,56.00%,44.60%
Alex Michelsen,Juan Pablo Varillas Patino Samudio,TRUE,60.80%,83.30%,54.80%,40.40%,50.00%,44.70%
Max Purcell,Tallon Griekspoor,TRUE,60.80%,79.20%,51.60%,29.80%,52.60%,40.00%
Stefanos Tsitsipas,Borna Gojo,TRUE,60.70%,78.40%,54.50%,27.50%,48.00%,34.20%
Felix Auger Aliassime,Matteo Berrettini,TRUE,60.70%,83.30%,45.70%,25.50%,50.00%,35.10%
Dominik Koepfer,Aleksandar Kovacevic,TRUE,60.70%,75.70%,54.20%,35.30%,56.80%,46.50%
Alexei Popyrin,Daniel Altmaier,TRUE,60.60%,77.30%,51.20%,30.30%,42.60%,35.40%
Richard Gasquet,Brandon Nakashima,TRUE,60.50%,84.80%,50.00%,24.10%,42.40%,31.00%
Alexander Zverev,Sebastian Ofner,TRUE,60.50%,88.50%,52.90%,37.50%,60.00%,47.40%
Marcos Giron,Daniel Elahi Galan Riveros,TRUE,60.40%,86.20%,68.40%,35.90%,50.00%,39.20%
Adrian Mannarino,Sebastian Ofner,TRUE,60.40%,75.00%,52.40%,28.00%,66.70%,46.90%
Sebastian Korda,Bu Yunchaokete,TRUE,60.30%,80.00%,52.20%,33.30%,58.80%,42.60%
Adrian Mannarino,Arthur Rinderknech,TRUE,60.30%,72.30%,54.80%,33.30%,51.70%,41.20%
Michael Mmoh,Hubert Hurkacz,TRUE,60.20%,73.50%,57.80%,32.20%,47.40%,36.70%
Alex De Minaur,Cameron Norrie,TRUE,60.00%,73.80%,57.10%,29.50%,58.30%,39.70%
Benjamin Bonzi,Alexandre Muller,TRUE,60.00%,77.80%,54.20%,34.90%,46.40%,39.40%
Grigor Dimitrov,Holger Vitus Nodskov Rune,TRUE,60.00%,78.80%,59.10%,33.30%,65.40%,44.60%
Hubert Hurkacz,Francisco Cerundolo,TRUE,60.00%,70.00%,65.00%,31.70%,73.90%,46.90%
Lorenzo Sonego,Alexander Shevchenko,TRUE,60.00%,81.30%,46.90%,35.60%,50.00%,41.80%
Roman Safiullin,Juan Manuel Cerundolo,FALSE,60.00%,71.20%,50.00%,25.80%,51.10%,36.40%
Sho Shimabukuro,Lloyd George Muirhead Harris,TRUE,60.00%,90.00%,55.00%,22.20%,61.90%,39.60%
Hubert Hurkacz,Thanasi Kokkinakis,TRUE,59.80%,82.10%,57.80%,25.90%,50.00%,36.20%
Tommy Paul,Felipe Meligeni Rodrigues Alves,TRUE,59.80%,75.00%,48.60%,28.60%,54.30%,38.50%
Stefanos Tsitsipas,Felix Auger Aliassime,TRUE,59.70%,73.90%,64.50%,22.00%,84.20%,39.10%
Tallon Griekspoor,Taylor Harry Fritz,TRUE,59.70%,80.40%,54.80%,33.90%,44.00%,36.80%
Jan Lennard Struff,Billy Harris,TRUE,59.70%,76.70%,62.10%,28.30%,56.70%,38.60%
Taylor Harry Fritz,Zachary Svajda,TRUE,59.60%,85.30%,47.80%,38.70%,53.30%,43.50%
Luca Van Assche,Laslo Djere,FALSE,59.60%,69.50%,52.50%,29.60%,44.20%,35.10%
Shintaro Mochizuki,Alexei Popyrin,TRUE,59.60%,69.50%,47.50%,23.90%,63.00%,34.70%
Yoshihito Nishioka,Juncheng Shang,TRUE,59.60%,69.80%,55.60%,46.30%,44.80%,45.80%
Casper Ruud,Jiri Lehecka,TRUE,59.40%,82.90%,60.70%,21.60%,65.40%,36.40%
Stan Wawrinka,Borna Gojo,TRUE,59.40%,73.20%,64.30%,26.80%,50.00%,35.80%
Maximilian Marterer,Richard Gasquet,TRUE,59.30%,77.10%,66.70%,25.00%,45.00%,32.70%
Roman Safiullin,Carlos Alcaraz Garfia,TRUE,59.30%,71.40%,50.00%,31.40%,63.20%,42.60%
Aslan Karatsev,Kiranpal Pannu,TRUE,59.30%,75.00%,81.80%,31.60%,64.50%,46.40%
Marton Fucsovics,Denis Yevseyev,TRUE,59.30%,71.90%,72.70%,28.60%,47.40%,36.20%
Elias Ymer,Dino Prizmic,TRUE,59.20%,68.90%,51.60%,39.20%,64.70%,49.40%
Brandon Nakashima,Arthur Fils,TRUE,59.20%,89.70%,60.00%,21.60%,52.20%,33.30%
Jurij Rodionov,Gregoire Barrere,TRUE,59.20%,70.70%,57.50%,22.40%,44.40%,30.90%
Alibek Kachmazov,Corentin Moutet,TRUE,59.00%,69.40%,52.00%,36.40%,57.80%,47.20%
Karen Khachanov,Sebastian Korda,TRUE,59.00%,83.30%,48.00%,32.50%,56.70%,42.90%
Gregoire Barrere,Shintaro Mochizuki,TRUE,58.90%,69.60%,56.40%,34.40%,56.10%,44.90%
Taro Daniel,Ben Shelton,FALSE,58.90%,71.40%,56.40%,26.70%,46.70%,33.30%
Benjamin Bonzi,Alexander Shevchenko,FALSE,58.90%,77.30%,54.30%,23.00%,50.00%,33.30%
Tommy Paul,Ugo Humbert,TRUE,58.90%,78.80%,60.90%,39.50%,57.10%,46.50%
Andy Murray,Alex De Minaur,FALSE,58.90%,71.40%,45.50%,31.30%,56.30%,42.00%
Lorenzo Musetti,Arthur Rinderknech,TRUE,58.80%,80.00%,66.70%,28.60%,60.00%,41.70%
Nuno Borges,Dominik Koepfer,TRUE,58.80%,77.50%,60.70%,32.70%,50.00%,38.30%
Tommy Paul,Daniel Altmaier,TRUE,58.80%,78.70%,48.50%,38.50%,61.50%,45.10%
Tommy Paul,Miomir Kecmanovic,TRUE,58.70%,86.40%,61.30%,28.00%,44.40%,34.90%
Mitchell Krueger,Pavel Kotov,TRUE,58.60%,79.40%,66.70%,32.40%,53.30%,38.50%
Taylor Harry Fritz,Jordan Thompson,TRUE,58.60%,73.50%,66.70%,26.90%,52.20%,38.80%
Sebastian Ofner,Vitaliy Sachko,TRUE,58.50%,75.00%,58.80%,24.00%,55.60%,35.10%
Jordan Thompson,Kei Nishikori,FALSE,58.40%,80.80%,48.60%,24.60%,46.20%,30.80%
Daniel Altmaier,Alexei Popyrin,FALSE,58.40%,69.70%,57.40%,22.70%,48.80%,33.00%
Jack Draper,Lorenzo Musetti,TRUE,58.30%,88.60%,48.00%,36.20%,75.00%,49.30%
Jannik Sinner,Holger Vitus Nodskov Rune,TRUE,58.30%,83.70%,60.00%,28.60%,59.00%,39.40%
