TEAM_1,OPPONENT,OUTCOME,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,PTS_2,FGM_2,FGA_2,FG%_2,3PM_2,3PA_2,3P%_2,FTM_2,FTA_2,FT%_2,OREB_2,DREB_2,REB_2,AST_2,STL_2,BLK_2,TOV_2,PF_2,differential_2
ORL,LAC,L,240,97,38,86,44.2,10,29,34.5,11,15,73.3,13,25,38,20,10,8,17,11,-3,100,41,85,48.2,8,24,33.3,10,12,83.3,12,29,41,19,11,4,17,17,3
LAL,IND,L,240,90,35,86,40.7,5,30,16.7,15,18,83.3,10,38,48,24,3,3,16,14,-19,109,43,89,48.3,10,31,32.3,13,14,92.9,6,40,46,27,8,6,10,14,19
CHA,GSW,L,240,97,34,84,40.5,12,46,26.1,17,24,70.8,12,29,41,23,4,2,11,10,-18,115,48,89,53.9,11,32,34.4,8,9,88.9,11,39,50,35,7,5,13,19,18
DAL,SAC,W,240,107,35,74,47.3,15,35,42.9,22,33,66.7,6,36,42,24,4,6,10,12,4,103,40,92,43.5,15,32,46.9,8,12,66.7,10,35,45,24,9,1,11,22,-4
HOU,UTA,W,240,101,35,91,38.5,13,42,31,18,28,64.3,15,30,45,19,10,6,10,18,1,100,37,80,46.3,8,31,25.8,18,19,94.7,11,40,51,23,4,9,21,23,-1
MIN,DEN,W,240,111,38,74,51.4,9,28,32.1,26,37,70.3,6,33,39,28,6,7,9,20,13,98,35,88,39.8,8,28,28.6,20,27,74.1,13,33,46,29,6,1,13,24,-13
NYK,SAS,L,265,126,51,110,46.4,14,37,37.8,10,12,83.3,18,32,50,24,10,1,12,24,-4,130,44,82,53.7,16,40,40,26,32,81.3,8,38,46,34,3,2,15,16,4
POR,MIA,L,240,82,35,87,40.2,5,30,16.7,7,11,63.6,10,33,43,20,4,2,24,19,-60,142,54,92,58.7,21,39,53.8,13,18,72.2,6,38,44,41,17,4,9,13,60
PHX,OKC,L,240,103,39,87,44.8,13,41,31.7,12,15,80,13,26,39,26,6,6,14,15,-25,128,49,87,56.3,16,30,53.3,14,14,100,7,31,38,33,7,7,11,13,25
CLE,PHI,W,240,117,45,82,54.9,16,37,43.2,11,13,84.6,5,32,37,34,4,3,14,17,3,114,42,94,44.7,16,40,40,14,17,82.4,16,26,42,28,6,7,9,20,-3
BKN,CHI,W,240,125,43,91,47.3,25,44,56.8,14,22,63.6,12,31,43,26,9,3,7,22,17,108,38,75,50.7,9,30,30,23,29,79.3,5,39,44,24,3,6,13,18,-17
MIL,NOP,L,240,100,38,82,46.3,14,39,35.9,10,19,52.6,5,41,46,21,1,4,14,25,-7,107,36,91,39.6,8,32,25,27,34,79.4,11,37,48,22,11,5,7,19,7
ATL,BOS,W,265,123,51,104,49,15,44,34.1,6,10,60,17,36,53,24,5,5,11,17,1,122,45,94,47.9,14,36,38.9,18,21,85.7,9,34,43,28,7,6,12,15,-1
MEM,LAL,L,240,124,46,97,47.4,17,43,39.5,15,19,78.9,13,26,39,30,10,3,14,23,-12,136,45,81,55.6,18,33,54.5,28,35,80,4,39,43,31,5,4,16,19,12
HOU,OKC,W,265,132,50,104,48.1,15,43,34.9,17,23,73.9,16,34,50,25,10,3,16,24,6,126,47,96,49,14,38,36.8,18,24,75,13,36,49,26,7,7,19,24,-6
SAS,UTA,W,240,118,44,86,51.2,16,33,48.5,14,21,66.7,9,32,41,40,9,7,21,21,7,111,39,83,47,13,35,37.1,20,22,90.9,6,30,36,25,8,4,22,16,-7
PHX,DEN,W,240,104,39,83,47,16,33,48.5,10,11,90.9,12,39,51,29,3,7,17,13,7,97,38,88,43.2,10,40,25,11,12,91.7,9,29,38,24,9,4,8,13,-7
DET,MIN,L,240,91,31,81,38.3,9,32,28.1,20,25,80,10,31,41,15,9,1,12,14,-15,106,42,82,51.2,11,36,30.6,11,16,68.8,9,31,40,28,8,3,12,17,15
IND,CHI,L,240,99,34,85,40,13,42,31,18,23,78.3,12,28,40,25,3,4,13,23,-26,125,49,98,50,12,27,44.4,15,18,83.3,13,41,54,28,7,5,8,19,26
PHI,LAC,L,240,107,39,82,47.6,13,33,39.4,16,19,84.2,10,41,51,17,3,11,12,18,-1,108,40,90,44.4,14,36,38.9,14,20,70,11,32,43,28,8,5,8,16,1
TOR,NYK,L,240,101,39,84,46.4,11,31,35.5,12,13,92.3,11,17,28,31,7,4,18,17,-44,145,55,94,58.5,22,44,50,13,16,81.3,15,27,42,37,7,8,11,17,44
ATL,POR,W,240,120,44,85,51.8,16,41,39,16,20,80,8,33,41,23,12,9,17,17,14,106,43,85,50.6,14,31,45.2,6,10,60,6,27,33,35,8,2,19,18,-14
BKN,WAS,W,265,122,47,98,48,10,33,30.3,18,23,78.3,10,35,45,24,8,9,8,16,3,119,46,91,50.5,14,34,41.2,13,17,76.5,5,39,44,26,4,4,14,21,-3
GSW,ORL,W,240,101,40,90,44.4,10,34,29.4,11,13,84.6,12,40,52,26,5,5,13,18,8,93,36,85,42.4,10,32,31.3,11,21,52.4,10,29,39,25,10,5,11,13,-8
CLE,CHA,L,240,111,42,85,49.4,19,44,43.2,8,14,57.1,9,23,32,33,7,1,15,21,-7,118,44,76,57.9,13,33,39.4,17,22,77.3,8,30,38,30,8,2,16,14,7
MIA,GSW,L,240,92,37,92,40.2,8,33,24.2,10,13,76.9,11,28,39,24,3,2,9,9,-21,113,47,85,55.3,13,38,34.2,6,10,60,7,36,43,31,6,5,12,20,21
NOP,OKC,L,240,112,39,86,45.3,14,38,36.8,20,23,87,5,32,37,26,7,2,10,18,-7,119,46,86,53.5,15,34,44.1,12,14,85.7,7,38,45,28,5,3,12,17,7
MIL,LAL,L,290,124,49,119,41.2,15,51,29.4,11,17,64.7,15,46,61,37,9,5,14,26,-4,128,42,108,38.9,14,44,31.8,30,32,93.8,15,54,69,30,4,8,17,13,4
DAL,SAC,W,240,132,51,92,55.4,22,39,56.4,8,13,61.5,5,44,49,34,10,4,9,18,36,96,35,90,38.9,11,30,36.7,15,19,78.9,11,31,42,27,6,5,14,15,-36
MEM,DEN,L,240,103,37,94,39.4,11,44,25,18,27,66.7,17,23,40,25,9,9,17,15,-25,128,48,90,53.3,15,32,46.9,17,18,94.4,15,35,50,38,10,7,16,23,25
IND,LAC,W,240,133,50,86,58.1,17,28,60.7,16,22,72.7,7,27,34,28,7,3,8,21,17,116,46,85,54.1,6,20,30,18,22,81.8,11,25,36,26,4,4,10,19,-17
SAC,PHI,W,240,108,38,86,44.2,10,38,26.3,22,28,78.6,11,29,40,25,6,6,8,18,12,96,34,82,41.5,11,34,32.4,17,20,85,15,32,47,18,2,4,15,25,-12
HOU,POR,W,240,110,37,93,39.8,12,39,30.8,24,25,96,13,32,45,19,7,7,9,16,18,92,36,87,41.4,7,33,21.2,13,15,86.7,10,34,44,14,5,6,17,25,-18
DAL,UTA,W,240,115,44,92,47.8,12,42,28.6,15,18,83.3,10,37,47,31,9,7,6,17,10,105,37,87,42.5,13,39,33.3,18,22,81.8,11,35,46,28,6,3,13,15,-10
WAS,CHI,W,240,107,39,97,40.2,14,49,28.6,15,18,83.3,14,38,52,32,8,5,14,21,2,105,36,87,41.4,10,35,28.6,23,28,82.1,9,37,46,27,9,8,12,14,-2
SAS,PHX,W,240,104,40,91,44,8,31,25.8,16,19,84.2,5,35,40,23,10,1,7,15,2,102,42,83,50.6,10,28,35.7,8,14,57.1,5,42,47,28,5,7,15,14,-2
DET,NYK,L,240,99,34,88,38.6,10,34,29.4,21,22,95.5,7,30,37,22,8,5,12,22,-25,124,45,89,50.6,19,46,41.3,15,22,68.2,12,40,52,30,6,6,14,18,25
BOS,ATL,L,240,118,47,95,49.5,11,38,28.9,13,19,68.4,12,26,38,21,7,8,9,16,-2,120,46,87,52.9,18,36,50,10,17,58.8,15,29,44,30,5,3,13,18,2
TOR,BKN,L,240,88,37,85,43.5,5,27,18.5,9,12,75,8,22,30,23,10,2,10,15,-8,96,37,81,45.7,9,39,23.1,13,18,72.2,16,34,50,20,3,4,20,16,8
CHA,CLE,L,240,92,34,80,42.5,9,28,32.1,15,18,83.3,6,27,33,22,5,4,12,13,-23,115,46,86,53.5,17,41,41.5,6,10,60,9,38,47,41,4,3,14,15,23
GSW,MIN,L,240,110,38,85,44.7,14,36,38.9,20,26,76.9,7,34,41,23,8,3,13,19,-4,114,40,84,47.6,21,40,52.5,13,18,72.2,7,37,44,30,9,5,16,17,4
IND,LAL,L,240,145,59,107,55.1,18,36,50,9,16,56.3,10,30,40,39,6,4,11,31,-5,150,50,89,56.2,12,25,48,38,43,88.4,8,33,41,28,6,7,10,14,5
CLE,MIA,L,240,84,30,72,41.7,9,29,31,15,20,75,4,26,30,24,3,3,17,16,-37,121,43,83,51.8,15,38,39.5,20,23,87,9,35,44,29,13,0,12,17,37
LAC,PHI,L,240,107,40,83,48.2,10,28,35.7,17,18,94.4,10,27,37,27,2,9,14,11,-14,121,48,90,53.3,18,37,48.6,7,9,77.8,12,25,37,32,7,10,8,18,14
DET,NOP,L,240,101,32,79,40.5,11,41,26.8,26,32,81.3,10,36,46,20,4,5,17,25,-13,114,41,81,50.6,11,34,32.4,21,31,67.7,6,35,41,27,8,7,10,22,13
OKC,MIL,L,240,93,33,89,37.1,10,43,23.3,17,22,77.3,10,27,37,20,9,1,12,16,-25,118,49,92,53.3,11,34,32.4,9,14,64.3,15,42,57,33,7,5,17,21,25
BKN,NYK,L,240,93,34,76,44.7,12,34,35.3,13,15,86.7,8,33,41,26,5,6,15,15,-12,105,42,97,43.3,15,40,37.5,6,12,50,16,31,47,25,10,4,10,15,12
SAC,ORL,W,240,109,38,87,43.7,15,40,37.5,18,21,85.7,6,36,42,26,6,5,7,19,2,107,42,88,47.7,10,35,28.6,13,18,72.2,12,37,49,27,5,3,13,20,-2
CHA,ATL,L,240,91,35,84,41.7,11,39,28.2,10,14,71.4,11,28,39,25,3,4,15,9,-41,132,50,90,55.6,20,42,47.6,12,14,85.7,11,32,43,40,9,5,9,14,41
CHI,BOS,L,240,113,47,82,57.3,9,24,37.5,10,11,90.9,3,26,29,36,7,3,7,18,-11,124,44,86,51.2,21,48,43.8,15,17,88.2,12,29,41,28,5,3,12,9,11
PHX,SAS,W,240,131,56,94,59.6,11,24,45.8,8,10,80,7,32,39,38,11,5,10,18,25,106,40,85,47.1,9,33,27.3,17,21,81,8,26,34,27,6,6,15,9,-25
HOU,UTA,W,240,147,54,97,55.7,27,49,55.1,12,14,85.7,12,32,44,31,7,3,9,26,28,119,40,89,44.9,11,37,29.7,28,33,84.8,12,28,40,24,2,4,10,11,-28
WAS,TOR,W,240,112,44,92,47.8,11,35,31.4,13,19,68.4,16,39,55,28,7,8,18,18,3,109,40,94,42.6,8,33,24.2,21,26,80.8,13,29,42,27,9,7,12,20,-3
POR,DEN,L,240,111,43,93,46.2,10,28,35.7,15,17,88.2,14,31,45,27,8,8,16,24,-3,114,41,91,45.1,8,24,33.3,24,33,72.7,19,30,49,25,8,9,14,17,3
GSW,IND,L,240,111,43,106,40.6,14,48,29.2,11,16,68.8,24,40,64,24,6,6,14,15,-12,123,48,99,48.5,15,36,41.7,12,16,75,12,38,50,32,8,10,11,14,12
CLE,MIN,L,240,91,34,81,42,7,29,24.1,16,19,84.2,10,31,41,22,6,5,12,14,-13,104,41,85,48.2,14,27,51.9,8,16,50,13,33,46,27,9,5,12,12,13
SAS,MEM,L,240,97,37,95,38.9,7,38,18.4,16,23,69.6,15,41,56,24,12,7,16,23,-2,99,33,82,40.2,12,34,35.3,21,31,67.7,9,42,51,18,10,4,18,17,2
MIA,NOP,L,240,88,31,86,36,13,47,27.7,13,15,86.7,7,27,34,22,3,4,6,9,-23,111,42,82,51.2,18,36,50,9,12,75,12,44,56,25,3,2,13,13,23
TOR,OKC,L,240,103,40,76,52.6,11,30,36.7,12,17,70.6,5,31,36,34,12,3,27,18,-20,123,48,95,50.5,12,32,37.5,15,19,78.9,13,33,46,27,17,5,16,20,20
DET,BOS,L,240,102,42,83,50.6,9,31,29,9,13,69.2,8,34,42,25,4,1,19,23,-27,129,47,89,52.8,16,45,35.6,19,27,70.4,8,27,35,31,9,5,7,15,27
LAC,POR,W,240,125,44,77,57.1,14,33,42.4,23,27,85.2,7,33,40,26,8,8,17,21,8,117,45,93,48.4,12,33,36.4,15,25,60,15,26,41,29,11,1,10,19,-8
PHI,LAL,L,240,94,33,96,34.4,8,37,21.6,20,24,83.3,13,29,42,20,13,7,9,23,-7,101,32,73,43.8,12,31,38.7,25,33,75.8,11,43,54,22,1,7,21,16,7
HOU,CHI,W,240,127,47,93,50.5,17,45,37.8,16,20,80,13,36,49,27,7,6,16,21,10,117,42,93,45.2,12,31,38.7,21,25,84,12,31,43,23,8,3,11,17,-10
DAL,UTA,W,240,113,43,86,50,10,32,31.3,17,28,60.7,11,32,43,33,12,3,13,20,16,97,38,83,45.8,4,30,13.3,17,19,89.5,5,33,38,29,6,3,18,23,-16
NYK,DEN,L,240,100,38,79,48.1,11,31,35.5,13,17,76.5,4,27,31,28,6,6,10,18,-13,113,45,84,53.6,6,20,30,17,20,85,9,33,42,31,5,4,10,14,13
ORL,NOP,W,240,121,47,86,54.7,14,36,38.9,13,19,68.4,10,30,40,33,12,4,16,16,15,106,42,78,53.8,6,20,30,16,21,76.2,3,30,33,24,11,1,19,18,-15
PHX,ATL,W,240,128,41,74,55.4,22,41,53.7,24,27,88.9,7,31,38,28,4,11,17,19,13,115,40,91,44,12,35,34.3,23,29,79.3,12,24,36,27,11,3,11,23,-13
BKN,MIL,L,240,108,41,92,44.6,13,44,29.5,13,16,81.3,15,34,49,29,7,1,14,12,-7,115,43,91,47.3,16,41,39,13,15,86.7,11,29,40,27,5,4,10,17,7
WAS,SAC,W,240,109,41,81,50.6,10,25,40,17,23,73.9,10,35,45,20,9,3,20,19,7,102,37,86,43,11,39,28.2,17,19,89.5,10,27,37,21,12,7,15,20,-7
GSW,MEM,W,240,137,58,100,58,19,39,48.7,2,6,33.3,13,35,48,43,6,5,7,17,21,116,42,96,43.8,18,49,36.7,14,18,77.8,16,29,45,29,4,3,12,15,-21
PHI,PHX,L,240,102,41,95,43.2,13,37,35.1,7,18,38.9,13,27,40,33,12,7,11,12,-13,115,45,90,50,19,39,48.7,6,8,75,14,41,55,34,7,12,23,18,13
POR,LAC,L,240,103,39,81,48.1,15,34,44.1,10,15,66.7,8,30,38,21,6,4,17,16,-13,116,45,86,52.3,13,31,41.9,13,15,86.7,8,34,42,29,15,7,12,13,13
BOS,MIL,W,240,122,40,85,47.1,18,40,45,24,29,82.8,11,26,37,25,6,5,9,18,3,119,45,84,53.6,17,35,48.6,12,14,85.7,9,32,41,20,3,6,15,25,-3
UTA,OKC,L,240,107,40,90,44.4,10,36,27.8,17,18,94.4,11,36,47,20,6,5,16,22,-12,119,43,88,48.9,10,34,29.4,23,29,79.3,10,35,45,29,10,7,10,16,12
SAC,TOR,W,240,123,48,93,51.6,12,40,30,15,18,83.3,18,35,53,32,14,6,16,16,34,89,33,80,41.3,10,31,32.3,13,18,72.2,11,20,31,21,11,3,22,15,-34
DET,IND,L,240,103,37,90,41.1,5,23,21.7,24,30,80,12,34,46,23,8,1,15,14,-19,122,50,88,56.8,11,29,37.9,11,18,61.1,5,35,40,38,13,6,13,16,19
MIA,CLE,W,240,107,38,83,45.8,13,36,36.1,18,19,94.7,7,30,37,19,7,2,8,20,3,104,35,75,46.7,15,42,35.7,19,22,86.4,6,31,37,30,3,2,12,19,-3
WAS,HOU,L,240,114,42,98,42.9,15,39,38.5,15,20,75,17,27,44,24,6,2,11,27,-23,137,47,91,51.6,13,39,33.3,30,36,83.3,12,35,47,25,6,11,7,15,23
SAS,DAL,L,240,107,39,89,43.8,14,39,35.9,15,21,71.4,9,39,48,31,6,10,16,14,-6,113,44,91,48.4,10,30,33.3,15,17,88.2,3,37,40,31,6,3,9,18,6
CHA,ORL,L,240,92,38,79,48.1,9,29,31,7,9,77.8,4,26,30,19,8,1,17,13,-20,112,44,81,54.3,12,34,35.3,12,13,92.3,10,31,41,32,10,6,18,10,20
NOP,BKN,W,240,104,42,83,50.6,10,34,29.4,10,13,76.9,11,37,48,29,7,5,14,19,13,91,31,84,36.9,12,40,30,17,22,77.3,14,28,42,19,6,4,14,13,-13
MIN,DEN,L,240,112,42,88,47.7,12,35,34.3,16,23,69.6,8,29,37,25,10,7,7,16,-3,115,42,81,51.9,14,27,51.9,17,22,77.3,11,38,49,26,5,1,17,19,3
IND,CLE,L,240,103,42,91,46.2,9,38,23.7,10,16,62.5,14,31,45,28,8,3,11,24,-5,108,38,80,47.5,12,32,37.5,20,28,71.4,9,30,39,27,8,4,14,18,5
DET,BOS,L,240,94,36,84,42.9,9,29,31,13,15,86.7,8,35,43,21,6,3,13,15,-25,119,43,95,45.3,22,49,44.9,11,13,84.6,15,38,53,30,8,8,11,9,25
PHI,MIA,W,240,98,37,85,43.5,13,36,36.1,11,12,91.7,7,39,46,23,7,12,12,16,7,91,35,89,39.3,12,33,36.4,9,14,64.3,11,38,49,23,8,3,15,13,-7
POR,CHI,L,240,107,40,88,45.5,8,28,28.6,19,25,76,13,30,43,21,7,5,13,24,-3,110,41,93,44.1,11,33,33.3,17,21,81,13,27,40,26,9,5,9,21,3
UTA,MIN,L,240,104,39,84,46.4,14,32,43.8,12,14,85.7,14,33,47,25,6,3,17,13,-10,114,44,91,48.4,16,41,39,10,12,83.3,12,23,35,27,9,9,9,15,10
SAC,MEM,W,265,121,42,94,44.7,11,35,31.4,26,32,81.3,15,44,59,30,7,10,19,25,10,111,37,98,37.8,13,38,34.2,24,30,80,15,34,49,22,13,7,14,23,-10
ATL,LAL,L,240,105,42,98,42.9,9,41,22,12,15,80,12,30,42,32,8,5,9,14,-31,136,52,90,57.8,15,36,41.7,17,20,85,4,44,48,39,6,4,9,15,31
NYK,GSW,W,240,119,44,91,48.4,14,37,37.8,17,20,85,14,30,44,29,6,1,13,17,7,112,42,88,47.7,14,36,38.9,14,18,77.8,12,27,39,29,7,5,13,16,-7
DEN,DAL,L,240,105,37,84,44,12,28,42.9,19,22,86.4,6,31,37,26,7,6,8,16,-2,107,42,100,42,9,35,25.7,14,21,66.7,22,38,60,22,5,5,12,21,2
BOS,WAS,W,240,130,43,87,49.4,24,50,48,20,24,83.3,12,31,43,30,9,6,15,17,26,104,41,89,46.1,10,34,29.4,12,14,85.7,10,30,40,24,3,5,16,20,-26
DET,MIA,L,240,101,38,83,45.8,14,36,38.9,11,14,78.6,7,37,44,24,4,7,12,19,-3,104,40,89,44.9,12,35,34.3,12,16,75,11,36,47,24,7,2,10,11,3
MIL,PHX,W,240,140,51,94,54.3,24,41,58.5,14,14,100,10,25,35,35,11,2,11,12,11,129,51,87,58.6,14,33,42.4,13,15,86.7,7,32,39,36,7,5,14,16,-11
TOR,ORL,L,240,96,37,84,44,8,31,25.8,14,15,93.3,11,26,37,23,7,3,18,18,-15,111,43,85,50.6,11,36,30.6,14,20,70,10,29,39,22,7,4,15,16,15
SAS,BKN,W,265,122,46,99,46.5,9,37,24.3,21,23,91.3,13,37,50,30,6,10,18,17,7,115,47,102,46.1,8,31,25.8,13,19,68.4,11,37,48,29,13,5,12,20,-7
ATL,LAC,W,240,110,41,84,48.8,17,34,50,11,12,91.7,10,35,45,32,10,7,16,22,17,93,28,74,37.8,11,36,30.6,26,29,89.7,10,30,40,17,10,5,16,13,-17
POR,NOP,L,240,107,42,84,50,12,33,36.4,11,12,91.7,10,26,36,23,3,7,20,15,-19,126,52,97,53.6,13,33,39.4,9,10,90,10,29,39,36,8,5,10,13,19
CHI,WAS,W,240,127,49,85,57.6,8,24,33.3,21,29,72.4,12,39,51,33,9,4,15,16,29,98,36,84,42.9,13,32,40.6,13,22,59.1,9,23,32,27,12,7,16,21,-29
OKC,MEM,W,240,118,45,87,51.7,12,35,34.3,16,21,76.2,8,37,45,25,7,8,12,19,6,112,37,81,45.7,18,44,40.9,20,26,76.9,7,29,36,34,7,4,14,20,-6
BKN,IND,L,240,100,33,77,42.9,10,25,40,24,31,77.4,12,33,45,18,8,3,21,18,-21,121,50,105,47.6,6,30,20,15,16,93.8,17,33,50,21,13,4,13,23,21
CHA,PHI,L,240,98,37,82,45.1,10,31,32.3,14,18,77.8,12,28,40,21,11,4,16,21,-11,109,36,81,44.4,13,41,31.7,24,25,96,10,31,41,25,9,4,16,23,11
HOU,CLE,W,240,117,47,98,48,15,42,35.7,8,12,66.7,11,37,48,28,9,7,10,19,14,103,37,82,45.1,12,38,31.6,17,20,85,7,38,45,22,6,7,16,12,-14
GSW,LAL,W,240,128,51,97,52.6,14,34,41.2,12,15,80,14,31,45,38,3,4,7,19,7,121,47,92,51.1,12,34,35.3,15,18,83.3,8,31,39,32,3,4,10,13,-7
MIN,UTA,W,240,119,44,93,47.3,19,41,46.3,12,15,80,7,37,44,31,8,6,9,16,19,100,38,83,45.8,6,26,23.1,18,21,85.7,10,41,51,23,4,5,16,14,-19
SAC,NYK,L,240,91,30,85,35.3,10,37,27,21,26,80.8,11,31,42,22,7,5,12,20,-7,98,37,86,43,11,39,28.2,13,16,81.3,10,42,52,19,8,9,16,21,7
ATL,UTA,L,240,122,41,92,44.6,20,39,51.3,20,27,74.1,11,30,41,32,7,5,9,16,-2,124,46,90,51.1,14,36,38.9,18,20,90,10,39,49,24,6,7,13,21,2
DET,MIA,L,240,95,36,84,42.9,10,38,26.3,13,15,86.7,9,39,48,27,5,2,18,16,-13,108,43,91,47.3,7,34,20.6,15,21,71.4,9,35,44,23,14,6,8,16,13
CHA,PHX,L,240,96,35,94,37.2,6,37,16.2,20,27,74.1,12,36,48,20,6,3,5,16,-11,107,40,87,46,11,38,28.9,16,20,80,10,47,57,31,3,3,10,20,11
TOR,ORL,L,240,103,38,81,46.9,14,34,41.2,13,20,65,9,31,40,24,11,4,16,24,-10,113,40,80,50,14,31,45.2,19,22,86.4,6,33,39,25,7,4,15,15,10
NOP,LAC,W,240,112,42,87,48.3,13,35,37.1,15,20,75,9,31,40,28,8,2,9,21,8,104,37,77,48.1,12,33,36.4,18,19,94.7,5,32,37,18,6,8,15,17,-8
SAS,DEN,L,240,106,37,81,45.7,11,29,37.9,21,27,77.8,12,32,44,23,6,4,17,13,-11,117,49,89,55.1,10,25,40,9,12,75,7,33,40,37,13,5,13,20,11
BOS,PHX,W,240,127,47,89,52.8,25,50,50,8,11,72.7,6,27,33,31,12,5,10,13,15,112,47,99,47.5,11,31,35.5,7,10,70,19,32,51,27,4,3,14,12,-15
LAC,CHI,W,240,126,48,80,60,20,40,50,10,14,71.4,6,29,35,32,9,2,10,16,15,111,41,86,47.7,16,35,45.7,13,16,81.3,11,25,36,28,4,2,13,14,-15
MIL,PHI,W,240,114,39,72,54.2,16,36,44.4,20,24,83.3,6,31,37,29,6,4,15,14,9,105,39,79,49.4,17,35,48.6,10,14,71.4,6,24,30,20,6,4,13,18,-9
WAS,HOU,L,240,119,46,93,49.5,12,38,31.6,15,19,78.9,7,25,32,29,11,2,14,19,-16,135,51,87,58.6,12,28,42.9,21,24,87.5,8,39,47,24,7,1,19,19,16
NYK,POR,W,240,105,38,87,43.7,6,29,20.7,23,26,88.5,15,35,50,16,11,1,15,18,12,93,34,84,40.5,11,33,33.3,14,16,87.5,13,32,45,19,10,2,18,19,-12
OKC,DAL,W,240,126,45,86,52.3,16,39,41,20,23,87,8,26,34,28,10,7,13,24,7,119,43,84,51.2,12,29,41.4,21,26,80.8,10,30,40,25,6,2,19,20,-7
LAL,SAC,L,240,107,38,78,48.7,14,32,43.8,17,22,77.3,7,31,38,25,8,2,14,12,-13,120,46,88,52.3,19,41,46.3,9,12,75,9,35,44,30,11,2,14,19,13
POR,ATL,W,240,106,38,82,46.3,10,30,33.3,20,24,83.3,12,37,49,24,7,5,18,21,4,102,38,88,43.2,14,39,35.9,12,18,66.7,13,25,38,19,11,6,15,23,-4
DAL,GSW,W,240,109,44,82,53.7,6,27,22.2,15,19,78.9,9,33,42,30,6,13,17,16,10,99,37,92,40.2,9,28,32.1,16,19,84.2,15,27,42,19,9,3,17,20,-10
CHI,IND,W,265,132,48,92,52.2,10,28,35.7,26,32,81.3,7,41,48,22,6,5,12,21,3,129,46,99,46.5,14,45,31.1,23,28,82.1,9,38,47,30,4,6,9,25,-3
CHA,MEM,W,240,110,44,82,53.7,13,36,36.1,9,13,69.2,6,29,35,26,12,7,20,11,12,98,36,85,42.4,16,40,40,10,11,90.9,16,30,46,24,12,5,24,19,-12
CLE,NOP,W,240,116,47,92,51.1,20,45,44.4,2,3,66.7,8,38,46,38,4,4,12,18,21,95,35,80,43.8,4,22,18.2,21,26,80.8,7,36,43,22,7,6,12,13,-21
DEN,MIA,W,240,100,40,82,48.8,11,33,33.3,9,13,69.2,7,34,41,24,4,2,10,13,12,88,34,80,42.5,5,21,23.8,15,18,83.3,8,34,42,18,5,2,9,13,-12
ORL,BKN,W,240,114,40,77,51.9,14,32,43.8,20,26,76.9,6,28,34,29,6,6,13,20,8,106,38,81,46.9,7,26,26.9,23,27,85.2,8,24,32,21,7,4,13,19,-8
TOR,DET,L,240,104,41,93,44.1,9,36,25,13,19,68.4,3,34,37,32,13,8,11,20,-9,113,39,88,44.3,11,30,36.7,24,31,77.4,11,47,58,27,7,7,22,21,9
NYK,PHI,W,240,106,40,79,50.6,14,40,35,12,15,80,9,42,51,32,4,4,13,15,27,79,30,80,37.5,8,33,24.2,11,16,68.8,7,24,31,17,7,4,8,16,-27
IND,OKC,W,240,121,48,89,53.9,9,28,32.1,16,19,84.2,4,39,43,34,8,10,9,11,10,111,43,99,43.4,14,37,37.8,11,15,73.3,13,37,50,24,5,4,13,16,-10
MEM,WAS,W,240,109,42,94,44.7,8,33,24.2,17,21,81,17,36,53,27,8,7,18,19,12,97,37,82,45.1,11,36,30.6,12,16,75,4,24,28,26,9,3,13,18,-12
HOU,SAS,W,240,103,37,80,46.3,10,32,31.3,19,21,90.5,8,28,36,21,10,5,13,19,2,101,39,82,47.6,11,36,30.6,12,14,85.7,10,32,42,30,9,5,15,20,-2
